Latitude;Longitude;Time;Date;Wind_Speed;Wind_Dir;Temp;RH;BP;Rain;SO2;PM10;PM2_5;PM10_PM2_5;CO;NO;NOx;NO2
50.490795;30.435649;00:00:00;2024-06-01;0.6;39.5;14.8;90.0;1006.1;0.0;4.44;62.96;14.29;49.02;1.71;2.68;3.74;1.06
50.490795;30.435649;00:00:10;2024-06-01;0.6;39.61;14.8;90.0;1006.1;0.0;4.44;62.96;14.29;49.02;1.71;2.68;3.73;1.05
50.490795;30.435649;00:00:20;2024-06-01;0.6;39.71;14.8;90.0;1006.1;0.0;4.44;62.96;14.29;49.02;1.71;2.68;3.72;1.04
50.490795;30.435649;00:00:30;2024-06-01;0.61;39.82;14.8;90.0;1006.11;0.0;4.44;62.96;14.29;49.01;1.71;2.68;3.71;1.03
50.490795;30.435649;00:00:40;2024-06-01;0.61;39.92;14.8;90.0;1006.11;0.0;4.43;62.96;14.29;49.01;1.71;2.68;3.7;1.02
50.490795;30.435649;00:00:50;2024-06-01;0.61;40.03;14.8;90.0;1006.11;0.0;4.43;62.96;14.29;49.01;1.71;2.68;3.69;1.01
50.490795;30.435649;00:01:00;2024-06-01;0.61;40.13;14.8;90.0;1006.11;0.0;4.43;62.96;14.3;49.01;1.71;2.68;3.68;1.0
50.490795;30.435649;00:01:10;2024-06-01;0.61;40.24;14.8;90.0;1006.11;0.0;4.43;62.96;14.3;49.0;1.71;2.68;3.67;0.99
50.490795;30.435649;00:01:20;2024-06-01;0.61;40.34;14.8;90.0;1006.11;0.0;4.43;62.96;14.3;49.0;1.71;2.68;3.67;0.98
50.490795;30.435649;00:01:30;2024-06-01;0.62;40.45;14.8;90.0;1006.12;0.0;4.43;62.95;14.3;49.0;1.71;2.68;3.66;0.97
50.490795;30.435649;00:01:40;2024-06-01;0.62;40.55;14.8;90.0;1006.12;0.0;4.42;62.95;14.3;49.0;1.71;2.68;3.65;0.96
50.490795;30.435649;00:01:50;2024-06-01;0.62;40.66;14.8;90.0;1006.12;0.0;4.42;62.95;14.3;49.0;1.7;2.68;3.64;0.95
50.490795;30.435649;00:02:00;2024-06-01;0.62;40.76;14.8;90.0;1006.12;0.0;4.42;62.95;14.3;48.99;1.7;2.68;3.63;0.94
50.490795;30.435649;00:02:10;2024-06-01;0.62;40.87;14.8;90.0;1006.12;0.0;4.42;62.95;14.31;48.99;1.7;2.68;3.62;0.93
50.490795;30.435649;00:02:20;2024-06-01;0.62;40.97;14.8;90.0;1006.12;0.0;4.42;62.95;14.31;48.99;1.7;2.68;3.61;0.92
50.490795;30.435649;00:02:30;2024-06-01;0.63;41.08;14.8;90.0;1006.13;0.0;4.42;62.95;14.31;48.99;1.7;2.68;3.6;0.92
50.490795;30.435649;00:02:40;2024-06-01;0.63;41.18;14.8;90.0;1006.13;0.0;4.41;62.95;14.31;48.98;1.7;2.68;3.59;0.91
